Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2010 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2010 inflation-adjusted dollars)
1400000US36047025400,36047025400,"Census Tract 254, Kings County, New York",41218,6715
1400000US36047025500,36047025500,"Census Tract 255, Kings County, New York",16670,2798
1400000US36047025600,36047025600,"Census Tract 256, Kings County, New York",35417,12501
1400000US36047025700,36047025700,"Census Tract 257, Kings County, New York",26625,23114
1400000US36047025800,36047025800,"Census Tract 258, Kings County, New York",38796,6842
1400000US36047025901,36047025901,"Census Tract 259.01, Kings County, New York",26053,12420
1400000US36047025902,36047025902,"Census Tract 259.02, Kings County, New York",20963,8464
1400000US36047026000,36047026000,"Census Tract 260, Kings County, New York",41759,10604
1400000US36047026100,36047026100,"Census Tract 261, Kings County, New York",24253,5498
1400000US36047026200,36047026200,"Census Tract 262, Kings County, New York",41633,11821
1400000US36047026300,36047026300,"Census Tract 263, Kings County, New York",33235,9301
1400000US36047026400,36047026400,"Census Tract 264, Kings County, New York",43184,5197
1400000US36047026500,36047026500,"Census Tract 265, Kings County, New York",43250,8473
1400000US36047026600,36047026600,"Census Tract 266, Kings County, New York",52688,6839
1400000US36047026700,36047026700,"Census Tract 267, Kings County, New York",58250,8047
1400000US36047026800,36047026800,"Census Tract 268, Kings County, New York",47315,6456
1400000US36047026900,36047026900,"Census Tract 269, Kings County, New York",25982,13254
1400000US36047027000,36047027000,"Census Tract 270, Kings County, New York",32917,8972
1400000US36047027100,36047027100,"Census Tract 271, Kings County, New York",42819,6709
1400000US36047027200,36047027200,"Census Tract 272, Kings County, New York",36094,14443
1400000US36047027300,36047027300,"Census Tract 273, Kings County, New York",40187,22119
1400000US36047027400,36047027400,"Census Tract 274, Kings County, New York",41375,11679
1400000US36047027500,36047027500,"Census Tract 275, Kings County, New York",52958,12132
1400000US36047027600,36047027600,"Census Tract 276, Kings County, New York",34450,6311
1400000US36047027700,36047027700,"Census Tract 277, Kings County, New York",26676,11097
1400000US36047027800,36047027800,"Census Tract 278, Kings County, New York",39575,12721
1400000US36047027900,36047027900,"Census Tract 279, Kings County, New York",37337,12673
1400000US36047028000,36047028000,"Census Tract 280, Kings County, New York",55865,23218
1400000US36047028100,36047028100,"Census Tract 281, Kings County, New York",20052,7060
1400000US36047028200,36047028200,"Census Tract 282, Kings County, New York",34362,4919
1400000US36047028300,36047028300,"Census Tract 283, Kings County, New York",16118,11404
1400000US36047028400,36047028400,"Census Tract 284, Kings County, New York",35354,6491
1400000US36047028501,36047028501,"Census Tract 285.01, Kings County, New York",59583,96378
1400000US36047028502,36047028502,"Census Tract 285.02, Kings County, New York",16161,3462
1400000US36047028600,36047028600,"Census Tract 286, Kings County, New York",36518,10321
1400000US36047028700,36047028700,"Census Tract 287, Kings County, New York",23025,3031
1400000US36047028800,36047028800,"Census Tract 288, Kings County, New York",28407,3852
1400000US36047028900,36047028900,"Census Tract 289, Kings County, New York",27143,11709
1400000US36047029000,36047029000,"Census Tract 290, Kings County, New York",38206,8444
1400000US36047029100,36047029100,"Census Tract 291, Kings County, New York",30669,8027
1400000US36047029200,36047029200,"Census Tract 292, Kings County, New York",25104,6914
1400000US36047029300,36047029300,"Census Tract 293, Kings County, New York",29922,13610
1400000US36047029400,36047029400,"Census Tract 294, Kings County, New York",29871,35108
1400000US36047029500,36047029500,"Census Tract 295, Kings County, New York",55361,8925
1400000US36047029600,36047029600,"Census Tract 296, Kings County, New York",37454,7903
1400000US36047029700,36047029700,"Census Tract 297, Kings County, New York",51944,15914
1400000US36047029800,36047029800,"Census Tract 298, Kings County, New York",41229,6542
1400000US36047029900,36047029900,"Census Tract 299, Kings County, New York",34517,12891
1400000US36047030000,36047030000,"Census Tract 300, Kings County, New York",41213,7104
1400000US36047030100,36047030100,"Census Tract 301, Kings County, New York",41646,5199
1400000US36047030200,36047030200,"Census Tract 302, Kings County, New York",43889,5309
1400000US36047030300,36047030300,"Census Tract 303, Kings County, New York",22613,3314
1400000US36047030400,36047030400,"Census Tract 304, Kings County, New York",36841,6503
1400000US36047030500,36047030500,"Census Tract 305, Kings County, New York",51696,7002
1400000US36047030600,36047030600,"Census Tract 306, Kings County, New York",40556,19496
1400000US36047030700,36047030700,"Census Tract 307, Kings County, New York",16158,4140
1400000US36047030800,36047030800,"Census Tract 308, Kings County, New York",42303,17177
1400000US36047030900,36047030900,"Census Tract 309, Kings County, New York",38933,10481
1400000US36047031100,36047031100,"Census Tract 311, Kings County, New York",37835,8423
1400000US36047031300,36047031300,"Census Tract 313, Kings County, New York",27625,10809
1400000US36047031400,36047031400,"Census Tract 314, Kings County, New York",44038,6671
1400000US36047031500,36047031500,"Census Tract 315, Kings County, New York",36520,4342
1400000US36047031701,36047031701,"Census Tract 317.01, Kings County, New York",33514,4581
1400000US36047031702,36047031702,"Census Tract 317.02, Kings County, New York",36125,12039
1400000US36047031900,36047031900,"Census Tract 319, Kings County, New York",34485,7810
1400000US36047032100,36047032100,"Census Tract 321, Kings County, New York",36250,9881
1400000US36047032300,36047032300,"Census Tract 323, Kings County, New York",39375,8332
1400000US36047032500,36047032500,"Census Tract 325, Kings County, New York",33529,9351
1400000US36047032600,36047032600,"Census Tract 326, Kings County, New York",27500,5259
1400000US36047032700,36047032700,"Census Tract 327, Kings County, New York",37402,8930
1400000US36047032800,36047032800,"Census Tract 328, Kings County, New York",36116,8265
1400000US36047032900,36047032900,"Census Tract 329, Kings County, New York",36113,4559
1400000US36047033000,36047033000,"Census Tract 330, Kings County, New York",22889,4159
1400000US36047033100,36047033100,"Census Tract 331, Kings County, New York",34005,4937
1400000US36047033300,36047033300,"Census Tract 333, Kings County, New York",40262,12718
1400000US36047033500,36047033500,"Census Tract 335, Kings County, New York",53359,11923
1400000US36047033600,36047033600,"Census Tract 336, Kings County, New York",61951,10995
1400000US36047033700,36047033700,"Census Tract 337, Kings County, New York",42321,15753
1400000US36047033900,36047033900,"Census Tract 339, Kings County, New York",39955,6601
1400000US36047034000,36047034000,"Census Tract 340, Kings County, New York",26188,4213
1400000US36047034100,36047034100,"Census Tract 341, Kings County, New York",37892,5563
1400000US36047034200,36047034200,"Census Tract 342, Kings County, New York",19385,4984
1400000US36047034300,36047034300,"Census Tract 343, Kings County, New York",19452,4022
1400000US36047034500,36047034500,"Census Tract 345, Kings County, New York",42095,15782
1400000US36047034700,36047034700,"Census Tract 347, Kings County, New York",29602,7762
1400000US36047034800,36047034800,"Census Tract 348, Kings County, New York",41414,10566
1400000US36047034900,36047034900,"Census Tract 349, Kings County, New York",35158,3750
1400000US36047035000,36047035000,"Census Tract 350, Kings County, New York",46180,7526
1400000US36047035100,36047035100,"Census Tract 351, Kings County, New York",34766,10801
1400000US36047035200,36047035200,"Census Tract 352, Kings County, New York",9215,588
1400000US36047035300,36047035300,"Census Tract 353, Kings County, New York",34752,3045
1400000US36047035400,36047035400,"Census Tract 354, Kings County, New York",42436,8303
1400000US36047035500,36047035500,"Census Tract 355, Kings County, New York",30865,6732
1400000US36047035601,36047035601,"Census Tract 356.01, Kings County, New York",48478,6291
1400000US36047035602,36047035602,"Census Tract 356.02, Kings County, New York",38526,5344
1400000US36047035700,36047035700,"Census Tract 357, Kings County, New York",20777,8422
1400000US36047035900,36047035900,"Census Tract 359, Kings County, New York",30559,8855
1400000US36047036001,36047036001,"Census Tract 360.01, Kings County, New York",20821,6589
1400000US36047036002,36047036002,"Census Tract 360.02, Kings County, New York",14047,815
1400000US36047036100,36047036100,"Census Tract 361, Kings County, New York",20288,6180
1400000US36047036200,36047036200,"Census Tract 362, Kings County, New York",28750,8937
1400000US36047036300,36047036300,"Census Tract 363, Kings County, New York",34005,7352
1400000US36047036400,36047036400,"Census Tract 364, Kings County, New York",36359,3553
1400000US36047036501,36047036501,"Census Tract 365.01, Kings County, New York",35673,7578
1400000US36047036502,36047036502,"Census Tract 365.02, Kings County, New York",53648,21415
1400000US36047036600,36047036600,"Census Tract 366, Kings County, New York",48370,6881
1400000US36047036700,36047036700,"Census Tract 367, Kings County, New York",43542,12668
1400000US36047036900,36047036900,"Census Tract 369, Kings County, New York",25972,7193
1400000US36047037000,36047037000,"Census Tract 370, Kings County, New York",51361,12977
1400000US36047037100,36047037100,"Census Tract 371, Kings County, New York",41880,5034
1400000US36047037300,36047037300,"Census Tract 373, Kings County, New York",27263,7142
1400000US36047037401,36047037401,"Census Tract 374.01, Kings County, New York",50518,11723
1400000US36047037402,36047037402,"Census Tract 374.02, Kings County, New York",32364,6055
1400000US36047037500,36047037500,"Census Tract 375, Kings County, New York",40323,10596
1400000US36047037700,36047037700,"Census Tract 377, Kings County, New York",46584,3620
1400000US36047037900,36047037900,"Census Tract 379, Kings County, New York",46623,6741
1400000US36047038100,36047038100,"Census Tract 381, Kings County, New York",29291,8065
1400000US36047038200,36047038200,"Census Tract 382, Kings County, New York",25399,3361
1400000US36047038300,36047038300,"Census Tract 383, Kings County, New York",38444,9835
1400000US36047038500,36047038500,"Census Tract 385, Kings County, New York",28702,17757
1400000US36047038600,36047038600,"Census Tract 386, Kings County, New York",42782,7023
1400000US36047038700,36047038700,"Census Tract 387, Kings County, New York",34194,11886
1400000US36047038800,36047038800,"Census Tract 388, Kings County, New York",43598,5897
1400000US36047038900,36047038900,"Census Tract 389, Kings County, New York",30841,8734
1400000US36047039000,36047039000,"Census Tract 390, Kings County, New York",52174,12784
1400000US36047039100,36047039100,"Census Tract 391, Kings County, New York",38114,5582
1400000US36047039200,36047039200,"Census Tract 392, Kings County, New York",36078,12157
1400000US36047039300,36047039300,"Census Tract 393, Kings County, New York",31618,22626
1400000US36047039400,36047039400,"Census Tract 394, Kings County, New York",48510,11118
1400000US36047039500,36047039500,"Census Tract 395, Kings County, New York",30382,17574
1400000US36047039600,36047039600,"Census Tract 396, Kings County, New York",41424,23428
1400000US36047039700,36047039700,"Census Tract 397, Kings County, New York",33125,9384
1400000US36047039800,36047039800,"Census Tract 398, Kings County, New York",33313,1736
1400000US36047039900,36047039900,"Census Tract 399, Kings County, New York",35969,8561
1400000US36047040000,36047040000,"Census Tract 400, Kings County, New York",38819,5631
1400000US36047040100,36047040100,"Census Tract 401, Kings County, New York",30350,8698
1400000US36047040200,36047040200,"Census Tract 402, Kings County, New York",41792,26320
1400000US36047040300,36047040300,"Census Tract 403, Kings County, New York",38278,14503
1400000US36047040400,36047040400,"Census Tract 404, Kings County, New York",61705,32661
1400000US36047040500,36047040500,"Census Tract 405, Kings County, New York",65795,26423
1400000US36047040600,36047040600,"Census Tract 406, Kings County, New York",51080,7654
1400000US36047040700,36047040700,"Census Tract 407, Kings County, New York",-,**
1400000US36047040800,36047040800,"Census Tract 408, Kings County, New York",37500,6372
1400000US36047040900,36047040900,"Census Tract 409, Kings County, New York",32097,9025
1400000US36047041000,36047041000,"Census Tract 410, Kings County, New York",38958,13714
1400000US36047041100,36047041100,"Census Tract 411, Kings County, New York",33182,13182
1400000US36047041200,36047041200,"Census Tract 412, Kings County, New York",40606,10435
1400000US36047041300,36047041300,"Census Tract 413, Kings County, New York",40000,13157
1400000US36047041401,36047041401,"Census Tract 414.01, Kings County, New York",49226,4924
1400000US36047041402,36047041402,"Census Tract 414.02, Kings County, New York",41188,14391
1400000US36047041500,36047041500,"Census Tract 415, Kings County, New York",32589,11433
1400000US36047041600,36047041600,"Census Tract 416, Kings County, New York",41776,11032
1400000US36047041700,36047041700,"Census Tract 417, Kings County, New York",30151,14363
1400000US36047041800,36047041800,"Census Tract 418, Kings County, New York",30159,10416
1400000US36047041900,36047041900,"Census Tract 419, Kings County, New York",32523,7784
1400000US36047042000,36047042000,"Census Tract 420, Kings County, New York",47542,19737
1400000US36047042100,36047042100,"Census Tract 421, Kings County, New York",40464,15000
1400000US36047042200,36047042200,"Census Tract 422, Kings County, New York",46190,11991
1400000US36047042300,36047042300,"Census Tract 423, Kings County, New York",36578,12106
1400000US36047042400,36047042400,"Census Tract 424, Kings County, New York",38821,8821
1400000US36047042500,36047042500,"Census Tract 425, Kings County, New York",30025,5383
1400000US36047042600,36047042600,"Census Tract 426, Kings County, New York",42094,9144
1400000US36047042700,36047042700,"Census Tract 427, Kings County, New York",38952,7557
1400000US36047042800,36047042800,"Census Tract 428, Kings County, New York",39879,14685
1400000US36047042900,36047042900,"Census Tract 429, Kings County, New York",30813,10821
1400000US36047043000,36047043000,"Census Tract 430, Kings County, New York",41397,15022
1400000US36047043100,36047043100,"Census Tract 431, Kings County, New York",27798,3509
1400000US36047043200,36047043200,"Census Tract 432, Kings County, New York",30957,4621
1400000US36047043300,36047043300,"Census Tract 433, Kings County, New York",26667,12309
1400000US36047043400,36047043400,"Census Tract 434, Kings County, New York",43804,8865
1400000US36047043500,36047043500,"Census Tract 435, Kings County, New York",30925,6207
1400000US36047043600,36047043600,"Census Tract 436, Kings County, New York",32188,10817
1400000US36047043700,36047043700,"Census Tract 437, Kings County, New York",31705,7621
1400000US36047043800,36047043800,"Census Tract 438, Kings County, New York",45594,11672
1400000US36047043900,36047043900,"Census Tract 439, Kings County, New York",37156,7665
1400000US36047044000,36047044000,"Census Tract 440, Kings County, New York",60958,18823
1400000US36047044100,36047044100,"Census Tract 441, Kings County, New York",36299,4853
1400000US36047044200,36047044200,"Census Tract 442, Kings County, New York",50733,11385
1400000US36047044300,36047044300,"Census Tract 443, Kings County, New York",44198,7213
1400000US36047044400,36047044400,"Census Tract 444, Kings County, New York",42130,9639
1400000US36047044500,36047044500,"Census Tract 445, Kings County, New York",39635,6277
1400000US36047044600,36047044600,"Census Tract 446, Kings County, New York",48618,23533
1400000US36047044700,36047044700,"Census Tract 447, Kings County, New York",41648,14039
1400000US36047044800,36047044800,"Census Tract 448, Kings County, New York",44866,13822
1400000US36047044900,36047044900,"Census Tract 449, Kings County, New York",23385,7596
1400000US36047045000,36047045000,"Census Tract 450, Kings County, New York",38643,12943
1400000US36047045200,36047045200,"Census Tract 452, Kings County, New York",59392,10964
1400000US36047045300,36047045300,"Census Tract 453, Kings County, New York",40934,4240
1400000US36047045400,36047045400,"Census Tract 454, Kings County, New York",65318,10299
1400000US36047045600,36047045600,"Census Tract 456, Kings County, New York",24722,6112
1400000US36047045800,36047045800,"Census Tract 458, Kings County, New York",64063,32919
1400000US36047046000,36047046000,"Census Tract 460, Kings County, New York",53654,9393
1400000US36047046201,36047046201,"Census Tract 462.01, Kings County, New York",26926,8228
1400000US36047046202,36047046202,"Census Tract 462.02, Kings County, New York",45318,5685
1400000US36047046400,36047046400,"Census Tract 464, Kings County, New York",50125,14337
1400000US36047046800,36047046800,"Census Tract 468, Kings County, New York",46848,13243
1400000US36047047000,36047047000,"Census Tract 470, Kings County, New York",46622,7897
1400000US36047047200,36047047200,"Census Tract 472, Kings County, New York",60500,14885
1400000US36047047400,36047047400,"Census Tract 474, Kings County, New York",48611,19784
1400000US36047047600,36047047600,"Census Tract 476, Kings County, New York",27153,4653
1400000US36047047700,36047047700,"Census Tract 477, Kings County, New York",54637,13227
1400000US36047047800,36047047800,"Census Tract 478, Kings County, New York",41359,25062
1400000US36047048000,36047048000,"Census Tract 480, Kings County, New York",45144,14876
1400000US36047048100,36047048100,"Census Tract 481, Kings County, New York",65673,12390
1400000US36047048200,36047048200,"Census Tract 482, Kings County, New York",30164,6267
1400000US36047048400,36047048400,"Census Tract 484, Kings County, New York",38017,4717
1400000US36047048500,36047048500,"Census Tract 485, Kings County, New York",54289,8680
1400000US36047048600,36047048600,"Census Tract 486, Kings County, New York",28341,7227
1400000US36047048800,36047048800,"Census Tract 488, Kings County, New York",35586,13909
1400000US36047048900,36047048900,"Census Tract 489, Kings County, New York",15654,5992
1400000US36047049000,36047049000,"Census Tract 490, Kings County, New York",40899,5319
1400000US36047049100,36047049100,"Census Tract 491, Kings County, New York",32093,6118
1400000US36047049200,36047049200,"Census Tract 492, Kings County, New York",51157,11855
1400000US36047049300,36047049300,"Census Tract 493, Kings County, New York",22145,5711
1400000US36047049400,36047049400,"Census Tract 494, Kings County, New York",43596,10079
1400000US36047049500,36047049500,"Census Tract 495, Kings County, New York",61771,16905
1400000US36047049600,36047049600,"Census Tract 496, Kings County, New York",49904,10184
1400000US36047049700,36047049700,"Census Tract 497, Kings County, New York",70433,17166
1400000US36047049800,36047049800,"Census Tract 498, Kings County, New York",51711,11078
1400000US36047049900,36047049900,"Census Tract 499, Kings County, New York",46786,39652
1400000US36047050000,36047050000,"Census Tract 500, Kings County, New York",46339,5361
1400000US36047050100,36047050100,"Census Tract 501, Kings County, New York",61888,6093
1400000US36047050202,36047050202,"Census Tract 502.02, Kings County, New York",82784,10587
1400000US36047050300,36047050300,"Census Tract 503, Kings County, New York",63578,9828
1400000US36047050400,36047050400,"Census Tract 504, Kings County, New York",70260,10790
1400000US36047050500,36047050500,"Census Tract 505, Kings County, New York",21680,4624
1400000US36047050600,36047050600,"Census Tract 506, Kings County, New York",32446,5384
1400000US36047050700,36047050700,"Census Tract 507, Kings County, New York",20598,12993
1400000US36047050801,36047050801,"Census Tract 508.01, Kings County, New York",29272,4680
1400000US36047050803,36047050803,"Census Tract 508.03, Kings County, New York",47183,19836
1400000US36047050804,36047050804,"Census Tract 508.04, Kings County, New York",40188,11641
1400000US36047050900,36047050900,"Census Tract 509, Kings County, New York",20750,10271
1400000US36047051001,36047051001,"Census Tract 510.01, Kings County, New York",45417,24774
1400000US36047051002,36047051002,"Census Tract 510.02, Kings County, New York",36094,8247
1400000US36047051100,36047051100,"Census Tract 511, Kings County, New York",22969,9447
1400000US36047051200,36047051200,"Census Tract 512, Kings County, New York",41398,5650
1400000US36047051300,36047051300,"Census Tract 513, Kings County, New York",57995,5994
1400000US36047051400,36047051400,"Census Tract 514, Kings County, New York",38977,7371
1400000US36047051500,36047051500,"Census Tract 515, Kings County, New York",64196,43255
1400000US36047051601,36047051601,"Census Tract 516.01, Kings County, New York",32760,4584
1400000US36047051602,36047051602,"Census Tract 516.02, Kings County, New York",39721,7842
1400000US36047051700,36047051700,"Census Tract 517, Kings County, New York",73021,25420
1400000US36047051800,36047051800,"Census Tract 518, Kings County, New York",50500,13902
1400000US36047051900,36047051900,"Census Tract 519, Kings County, New York",53278,7460
1400000US36047052000,36047052000,"Census Tract 520, Kings County, New York",47639,12183
1400000US36047052300,36047052300,"Census Tract 523, Kings County, New York",30417,14450
1400000US36047052500,36047052500,"Census Tract 525, Kings County, New York",15948,1265
1400000US36047052600,36047052600,"Census Tract 526, Kings County, New York",56220,8004
1400000US36047052700,36047052700,"Census Tract 527, Kings County, New York",36549,4630
1400000US36047052800,36047052800,"Census Tract 528, Kings County, New York",76000,18954
1400000US36047052900,36047052900,"Census Tract 529, Kings County, New York",25671,14806
1400000US36047053000,36047053000,"Census Tract 530, Kings County, New York",51833,10024
1400000US36047053100,36047053100,"Census Tract 531, Kings County, New York",24018,9138
1400000US36047053200,36047053200,"Census Tract 532, Kings County, New York",56429,24712
1400000US36047053300,36047053300,"Census Tract 533, Kings County, New York",18458,5267
1400000US36047053400,36047053400,"Census Tract 534, Kings County, New York",35682,14269
1400000US36047053500,36047053500,"Census Tract 535, Kings County, New York",20234,3445
1400000US36047053700,36047053700,"Census Tract 537, Kings County, New York",30938,14132
1400000US36047053800,36047053800,"Census Tract 538, Kings County, New York",39592,4558
1400000US36047053900,36047053900,"Census Tract 539, Kings County, New York",23099,5731
1400000US36047054200,36047054200,"Census Tract 542, Kings County, New York",44375,15534
1400000US36047054300,36047054300,"Census Tract 543, Kings County, New York",31591,56930
1400000US36047054400,36047054400,"Census Tract 544, Kings County, New York",63636,16280
1400000US36047054500,36047054500,"Census Tract 545, Kings County, New York",21707,4613
1400000US36047054600,36047054600,"Census Tract 546, Kings County, New York",30014,8489
1400000US36047054700,36047054700,"Census Tract 547, Kings County, New York",22865,10559
1400000US36047054800,36047054800,"Census Tract 548, Kings County, New York",64896,39245
1400000US36047054900,36047054900,"Census Tract 549, Kings County, New York",45060,26741
1400000US36047055000,36047055000,"Census Tract 550, Kings County, New York",33844,5609
1400000US36047055100,36047055100,"Census Tract 551, Kings County, New York",43074,8776
1400000US36047055200,36047055200,"Census Tract 552, Kings County, New York",41509,8282
1400000US36047055300,36047055300,"Census Tract 553, Kings County, New York",64201,13106
1400000US36047055400,36047055400,"Census Tract 554, Kings County, New York",34497,11034
1400000US36047055500,36047055500,"Census Tract 555, Kings County, New York",59767,28083
1400000US36047055600,36047055600,"Census Tract 556, Kings County, New York",51397,13220
1400000US36047055700,36047055700,"Census Tract 557, Kings County, New York",60119,15610
1400000US36047055800,36047055800,"Census Tract 558, Kings County, New York",38798,9810
1400000US36047056000,36047056000,"Census Tract 560, Kings County, New York",40078,12886
1400000US36047056100,36047056100,"Census Tract 561, Kings County, New York",59531,22639
1400000US36047056200,36047056200,"Census Tract 562, Kings County, New York",70406,16166
1400000US36047056300,36047056300,"Census Tract 563, Kings County, New York",52500,10992
1400000US36047056400,36047056400,"Census Tract 564, Kings County, New York",55739,14251
1400000US36047056500,36047056500,"Census Tract 565, Kings County, New York",58214,10798
1400000US36047056600,36047056600,"Census Tract 566, Kings County, New York",54442,18013
1400000US36047056800,36047056800,"Census Tract 568, Kings County, New York",51304,14118
1400000US36047056900,36047056900,"Census Tract 569, Kings County, New York",62955,17855
1400000US36047057000,36047057000,"Census Tract 570, Kings County, New York",54257,10120
1400000US36047057100,36047057100,"Census Tract 571, Kings County, New York",52440,13794
1400000US36047057200,36047057200,"Census Tract 572, Kings County, New York",13918,2925
1400000US36047057300,36047057300,"Census Tract 573, Kings County, New York",50625,6692
1400000US36047057400,36047057400,"Census Tract 574, Kings County, New York",74265,18068
1400000US36047057500,36047057500,"Census Tract 575, Kings County, New York",58409,11129
1400000US36047057600,36047057600,"Census Tract 576, Kings County, New York",54007,5987
1400000US36047057800,36047057800,"Census Tract 578, Kings County, New York",63371,17200
1400000US36047057900,36047057900,"Census Tract 579, Kings County, New York",40987,7361
1400000US36047058000,36047058000,"Census Tract 580, Kings County, New York",43397,13844
1400000US36047058200,36047058200,"Census Tract 582, Kings County, New York",31849,10189
1400000US36047058400,36047058400,"Census Tract 584, Kings County, New York",42380,16173
1400000US36047058600,36047058600,"Census Tract 586, Kings County, New York",34205,17849
1400000US36047058800,36047058800,"Census Tract 588, Kings County, New York",47066,6721
1400000US36047058900,36047058900,"Census Tract 589, Kings County, New York",88971,19497
1400000US36047059000,36047059000,"Census Tract 590, Kings County, New York",62083,12712
1400000US36047059100,36047059100,"Census Tract 591, Kings County, New York",56573,9284
1400000US36047059200,36047059200,"Census Tract 592, Kings County, New York",52162,15712
1400000US36047059300,36047059300,"Census Tract 593, Kings County, New York",37672,9790
1400000US36047059401,36047059401,"Census Tract 594.01, Kings County, New York",56689,14348
1400000US36047059402,36047059402,"Census Tract 594.02, Kings County, New York",63283,13083
1400000US36047059600,36047059600,"Census Tract 596, Kings County, New York",37012,9818
1400000US36047059800,36047059800,"Census Tract 598, Kings County, New York",54268,11675
1400000US36047060000,36047060000,"Census Tract 600, Kings County, New York",59952,10402
1400000US36047060600,36047060600,"Census Tract 606, Kings County, New York",47527,8563
1400000US36047060800,36047060800,"Census Tract 608, Kings County, New York",51250,8112
1400000US36047061002,36047061002,"Census Tract 610.02, Kings County, New York",47679,8435
1400000US36047061003,36047061003,"Census Tract 610.03, Kings County, New York",32039,23004
1400000US36047061004,36047061004,"Census Tract 610.04, Kings County, New York",22574,4921
1400000US36047061200,36047061200,"Census Tract 612, Kings County, New York",69286,17301
1400000US36047061600,36047061600,"Census Tract 616, Kings County, New York",70847,24153
1400000US36047062000,36047062000,"Census Tract 620, Kings County, New York",95833,14151
1400000US36047062200,36047062200,"Census Tract 622, Kings County, New York",46071,7921
1400000US36047062600,36047062600,"Census Tract 626, Kings County, New York",44625,17940
1400000US36047062800,36047062800,"Census Tract 628, Kings County, New York",71797,9468
1400000US36047063200,36047063200,"Census Tract 632, Kings County, New York",70714,23010
1400000US36047063600,36047063600,"Census Tract 636, Kings County, New York",88239,18182
1400000US36047063800,36047063800,"Census Tract 638, Kings County, New York",60489,34252
1400000US36047064000,36047064000,"Census Tract 640, Kings County, New York",97560,11750
1400000US36047064200,36047064200,"Census Tract 642, Kings County, New York",67303,23225
1400000US36047064400,36047064400,"Census Tract 644, Kings County, New York",88007,23300
1400000US36047064600,36047064600,"Census Tract 646, Kings County, New York",80978,9155
1400000US36047064800,36047064800,"Census Tract 648, Kings County, New York",56504,9194
1400000US36047065000,36047065000,"Census Tract 650, Kings County, New York",60257,14571
1400000US36047065200,36047065200,"Census Tract 652, Kings County, New York",114063,31967
1400000US36047065400,36047065400,"Census Tract 654, Kings County, New York",105213,17024
1400000US36047065600,36047065600,"Census Tract 656, Kings County, New York",83889,11877
1400000US36047065800,36047065800,"Census Tract 658, Kings County, New York",85870,11815
1400000US36047066000,36047066000,"Census Tract 660, Kings County, New York",66667,13016
1400000US36047066200,36047066200,"Census Tract 662, Kings County, New York",82995,9937
1400000US36047066600,36047066600,"Census Tract 666, Kings County, New York",-,**
1400000US36047067000,36047067000,"Census Tract 670, Kings County, New York",49091,24753
1400000US36047067200,36047067200,"Census Tract 672, Kings County, New York",71957,52019
1400000US36047067400,36047067400,"Census Tract 674, Kings County, New York",85588,25674
1400000US36047067600,36047067600,"Census Tract 676, Kings County, New York",72727,56830
1400000US36047067800,36047067800,"Census Tract 678, Kings County, New York",61477,23138
1400000US36047068000,36047068000,"Census Tract 680, Kings County, New York",53450,32174
1400000US36047068200,36047068200,"Census Tract 682, Kings County, New York",84896,33913
1400000US36047068600,36047068600,"Census Tract 686, Kings County, New York",62260,19933
1400000US36047068800,36047068800,"Census Tract 688, Kings County, New York",73229,25629
1400000US36047069000,36047069000,"Census Tract 690, Kings County, New York",76250,27640
1400000US36047069200,36047069200,"Census Tract 692, Kings County, New York",65179,19670
1400000US36047069601,36047069601,"Census Tract 696.01, Kings County, New York",68529,21106
1400000US36047069602,36047069602,"Census Tract 696.02, Kings County, New York",85313,18134
1400000US36047069800,36047069800,"Census Tract 698, Kings County, New York",67955,44783
1400000US36047070000,36047070000,"Census Tract 700, Kings County, New York",97206,28881
1400000US36047070201,36047070201,"Census Tract 702.01, Kings County, New York",79278,15246
1400000US36047070202,36047070202,"Census Tract 702.02, Kings County, New York",39167,56952
1400000US36047070203,36047070203,"Census Tract 702.03, Kings County, New York",-,**
1400000US36047070600,36047070600,"Census Tract 706, Kings County, New York",88250,13369
1400000US36047072000,36047072000,"Census Tract 720, Kings County, New York",69185,12875
1400000US36047072200,36047072200,"Census Tract 722, Kings County, New York",81919,13416
1400000US36047072400,36047072400,"Census Tract 724, Kings County, New York",75541,16505
1400000US36047072600,36047072600,"Census Tract 726, Kings County, New York",63661,10569
1400000US36047072800,36047072800,"Census Tract 728, Kings County, New York",51491,10984
1400000US36047073000,36047073000,"Census Tract 730, Kings County, New York",92802,22638
1400000US36047073200,36047073200,"Census Tract 732, Kings County, New York",68580,9947
1400000US36047073400,36047073400,"Census Tract 734, Kings County, New York",64583,10918
1400000US36047073600,36047073600,"Census Tract 736, Kings County, New York",41214,8331
1400000US36047073800,36047073800,"Census Tract 738, Kings County, New York",65132,13002
1400000US36047074000,36047074000,"Census Tract 740, Kings County, New York",57321,11128
1400000US36047074200,36047074200,"Census Tract 742, Kings County, New York",62473,6338
1400000US36047074400,36047074400,"Census Tract 744, Kings County, New York",94485,21842
1400000US36047074600,36047074600,"Census Tract 746, Kings County, New York",71855,14300
1400000US36047074800,36047074800,"Census Tract 748, Kings County, New York",57454,44727
1400000US36047075000,36047075000,"Census Tract 750, Kings County, New York",39099,5445
1400000US36047075200,36047075200,"Census Tract 752, Kings County, New York",49893,68293
1400000US36047075400,36047075400,"Census Tract 754, Kings County, New York",117750,44567
